Date,Close
12/1/14 16:00,23.98
12/2/14 16:00,24.2
12/3/14 16:00,24.23
12/4/14 16:00,24.4
12/5/14 16:00,25.15
12/8/14 16:00,25.04
12/9/14 16:00,25.16
12/10/14 16:00,24.65
12/11/14 16:00,24.69
12/12/14 16:00,24.46
12/15/14 16:00,24.49
12/16/14 16:00,24.25
12/17/14 16:00,24.56
12/18/14 16:00,25.08
12/19/14 16:00,25
12/22/14 16:00,25.1
12/23/14 16:00,25.44
12/24/14 16:00,25.51
12/26/14 16:00,25.31
12/29/14 16:00,25.37
12/30/14 16:00,25.19
12/31/14 16:00,24.86
1/2/15 16:00,24.76
1/5/15 16:00,24.18
1/6/15 16:00,23.91
1/7/15 16:00,24
1/8/15 16:00,24.18
1/9/15 16:00,23.89
1/12/15 16:00,23.88
1/13/15 16:00,23.87
1/14/15 16:00,23.44
1/15/15 16:00,22.96
1/16/15 16:00,23.19
1/20/15 16:00,23.1
1/21/15 16:00,23.28
1/22/15 16:00,24.14
1/23/15 16:00,23.71
1/26/15 16:00,24.09
1/27/15 16:00,24.15
1/28/15 16:00,23.86
1/29/15 16:00,24.24
1/30/15 16:00,23.9
2/2/15 16:00,24
2/3/15 16:00,24.29
2/4/15 16:00,24.01
2/5/15 16:00,24.35
2/6/15 16:00,24.5
2/9/15 16:00,24.26
2/10/15 16:00,24.82
2/11/15 16:00,24.97
2/12/15 16:00,25.33
2/13/15 16:00,25.45
2/17/15 16:00,25.56
2/18/15 16:00,25.21
2/19/15 16:00,25.02
2/20/15 16:00,25.25
2/23/15 16:00,24.91
2/24/15 16:00,24.93
2/25/15 16:00,24.96
2/26/15 16:00,24.85
2/27/15 16:00,24.84
3/2/15 16:00,24.85
3/3/15 16:00,25.04
3/4/15 16:00,24.9
3/5/15 16:00,25.3
3/6/15 16:00,25.5
3/9/15 16:00,25.23
3/10/15 16:00,25
3/11/15 16:00,25.11
3/12/15 16:00,25.49
3/13/15 16:00,24.77
3/16/15 16:00,25.31
3/17/15 16:00,25.6
3/18/15 16:00,25.19
3/19/15 16:00,24.8
3/20/15 16:00,24.8
3/23/15 16:00,24.76
3/24/15 16:00,24.32
3/25/15 16:00,24
3/26/15 16:00,24.12
3/27/15 16:00,24.48
3/30/15 16:00,24.32
